Recording ID for 30 random Cantometric recordings,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,coder_initials,song_id,38,39,40,41,42,Comment
T40023R01,6,2,6,7,7,10,13,7,7,7,6,3,6,13,1,6,7,6,1,7,10,1,13,9,7,9,9,9,7,13,13,4,8,10,10,7,7,PES/ALCW consensus,126,1,1,13,1,13,
T5410R56,2,1,1,4,1,1,1,1,1,4,11,1,1,1,9,12,7,11,9,7,10,1,13,9,7,9,13,13,13,13,7,10,6,7,4,4,4,PES/ALCW consensus,2803,1,1,7,1,4,
T5418R29,2,1,1,4,1,1,1,1,1,4,13,1,1,1,1,4,7,5,4,10,7,1,7,5,7,1,13,13,7,7,13,7,6,10,4,7,4,PES/ALCW consensus,3825,1,1,1,1,13,
T5427R06,2,1,1,4,1,1,1,1,1,4,11,1,1,1,9,1,1,1,9,4,4,1,4,11,7,9,13,9,7,7,7,7,6,10,10,7,10,PES/ALCW consensus,2588,1,1,1,1,7,
T5430R10,6,1,1,13,10,10,1,1,1,7,6,3,1,1,9,10,7,11,4,4,1,3,13,5,7,5,13,13,13,13,13,10,10,13,13,7,4,PES/ALCW consensus,3744,1,1,13,1,1,
T5440R13,11,1,1,13,4,10,1,1,1,10,6,5,1,1,9,11,4,11,9,10,7,6,7,5,13,13,13,9,7,13,7,7,10,10,7,4,4,PES/ALCW consensus,2228,1,7,7,13,4,
T5469R25,2,5,5,4,1,1,13,10,10,4,6,1,6,7,1,5,10,6,1,7,7,1,7,9,10,9,13,9,1,7,13,4,8,10,10,7,4,PES/ALCW consensus,913,1,1,13,1,7,
T5470R30,6,1,1,13,10,10,1,1,1,4,6,3,1,1,1,6,7,6,4,10,7,10,13,5,10,9,13,13,13,7,13,7,10,13,13,7,7,PES/ALCW consensus,626,1,1,13,1,13,
T5474R52,2,12,5,4,1,1,13,10,7,10,6,1,6,11,1,11,10,11,9,7,10,1,13,11,10,9,13,13,13,7,13,7,6,10,10,4,7,PES/ALCW consensus,1124,1,1,13,1,10,
T5476R27,8,13,6,13,7,10,13,13,13,13,6,3,6,11,13,12,10,13,9,7,7,8,13,11,10,13,13,13,13,7,13,10,6,13,7,4,10,PES/ALCW consensus,1394,1,1,13,1,4,
T5478R30,8,8,7,7,10,10,7,4,10,10,6,9,6,7,9,11,10,11,4,7,7,1,10,9,10,13,13,13,13,7,13,7,8,10,7,4,7,PES/ALCW consensus,1129,1,1,13,1,10,
T5479R05,8,2,6,13,4,7,7,7,10,10,6,3,3,3,9,6,10,6,4,7,7,8,13,9,10,13,13,13,13,13,13,7,8,13,7,7,10,PES/ALCW consensus,1055,1,1,13,1,10,
T5486R06,2,1,1,4,1,1,1,1,1,7,11,1,1,1,9,9,7,11,4,7,10,1,13,9,7,9,13,13,13,13,13,4,8,13,7,7,4,PES/ALCW consensus,3192,1,1,1,1,4,
T5486R16,8,12,13,13,10,13,13,10,13,4,6,3,6,11,9,5,10,6,11,7,7,10,13,13,10,13,13,13,13,13,13,4,6,13,10,7,4,PES/ALCW consensus,3079,1,1,13,1,7,
T5487R24,10,8,6,13,7,10,13,7,10,7,6,5,6,9,5,5,10,8,4,10,7,8,13,9,10,13,13,9,13,13,13,10,6,13,4,4,7,PES/ALCW consensus,20458,1,1,13,1,13,
T5511R03,5,2,6,10,7,7,10,10,10,4,6,5,6,7,1,5,7,6,11,10,4,1,4,5,10,9,13,5,1,7,7,4,6,4,4,7,10,PES/ALCW consensus,9626,1,1,7,13,10,
T5521R106,6,1,1,10,13,7,1,1,1,4,11,3,1,1,9,1,7,1,1,4,1,1,13,11,7,9,13,9,13,13,13,10,8,13,10,7,10,PES/ALCW consensus,9230,1,1,13,13,4,
T5545R05,2,1,1,4,1,1,1,1,1,4,6,1,1,1,9,6,10,6,9,4,7,1,13,11,4,13,13,13,13,13,13,7,6,13,13,7,1,PES/ALCW consensus,2317,1,1,7,1,7,
T5546R05,5,1,1,13,10,10,1,1,1,7,9,5,1,1,13,12,7,11,9,4,4,3,13,5,10,13,13,9,7,13,13,4,8,10,7,4,4,PES/ALCW consensus,9864,1,1,13,13,4,
T5546R22,13,3,6,13,10,10,7,13,10,10,6,13,6,3,13,13,4,8,4,10,10,13,13,5,10,9,13,13,7,13,13,10,10,13,7,4,4,PES/ALCW consensus,9870,7,13,13,13,7,
T5553R15,2,8,2,4,1,1,13,1,1,10,11,1,11,1,1,5,10,3,11,7,10,1,4,9,10,5,13,9,7,13,13,4,8,10,7,10,4,PES/ALCW consensus,9990,1,1,7,1,13,
T5553R19,8,3,6,7,10,10,7,10,7,10,6,3,6,5,1,12,4,13,9,10,10,1,7,9,10,9,9,9,7,13,13,10,8,10,10,7,10,PES/ALCW consensus,9994,1,1,7,1,7,
T5553R35,10,8,6,13,10,7,13,10,4,13,6,13,6,5,9,11,13,11,4,7,10,13,10,9,10,9,9,9,7,13,13,4,10,13,10,10,10,PES/ALCW consensus,4397,7,7,7,1,10,
T5587R04,5,1,1,13,13,10,1,1,1,7,6,3,1,1,1,3,7,5,9,10,10,10,10,5,7,5,13,9,13,1,13,4,10,13,13,10,4,PES/ALCW consensus,2798,1,1,13,1,10,
T5593R16,7,1,1,10,10,7,1,1,1,13,6,5,1,1,9,13,13,13,11,4,7,13,13,13,1,13,13,13,13,13,13,4,10,10,13,10,7,PES/ALCW consensus,9804,1,7,7,13,4,
T5609R05,10,1,1,10,10,7,1,1,1,7,13,5,1,1,13,5,10,8,4,7,13,6,10,3,4,5,13,5,7,13,7,10,8,10,10,10,10,PES/ALCW consensus,30561,1,1,7,1,10,
T5612R02,6,1,1,7,13,10,1,1,1,10,6,3,1,1,1,6,7,8,4,7,10,1,10,5,4,9,13,5,1,13,13,4,8,13,13,10,10,PES/ALCW consensus,30632,1,1,13,1,10,
T5619R08,13,2,6,13,10,7,10,10,10,13,6,13,6,3,13,13,13,13,1,7,10,13,13,9,10,13,13,13,13,7,7,10,8,7,7,4,10,PES/ALCW consensus,30127,1,7,7,13,7,
T5630R13,5,1,1,13,10,10,1,1,1,1,13,5,1,1,1,1,4,1,1,7,7,3,1,3,10,1,13,13,1,1,13,10,10,13,10,10,4,PES/ALCW consensus,30671,1,1,7,13,13,
T9606R11,5,1,1,7,10,10,1,1,1,10,6,3,1,1,13,6,4,8,4,10,10,1,13,3,7,13,13,13,7,13,13,10,8,13,10,7,7,PES/ALCW consensus,30304,1,1,13,1,13,