canto_coding_id,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,region
749,Khattak,31.95,77.1,0.54,0.69,0.62,0.77,0.31,0.31,0.77,0.31,0.31,1.0,0.46,0.38,0.46,0.69,0.69,0.77,0.54,1.0,0.08,0.31,0.54,0.08,0.31,0.69,1.0,0.38,0.38,0.38,0.08,1.0,1.0,0.08,0.08,0.08,0.08,0.08,1.0,North
750,Kashmiri Dards,33.77,76.57,0.62,0.15,0.38,1.0,0.31,0.77,1.0,0.77,1.0,0.08,0.46,0.23,0.46,0.69,0.69,0.15,0.08,0.08,0.08,0.54,0.54,0.46,0.54,0.85,0.77,1.0,1.0,0.69,0.54,0.08,1.0,0.31,0.23,0.31,0.31,0.31,0.54,North
751,Jaunsari,19.44,84.26,0.46,0.08,0.08,1.0,1.0,0.77,0.08,0.08,0.08,0.77,0.92,0.08,0.08,0.08,0.08,0.92,0.31,1.0,0.08,0.54,0.54,0.77,1.0,0.23,0.77,0.23,1.0,0.08,0.54,0.77,0.08,0.77,0.77,0.77,0.77,0.77,1.0,North
752,Benares,25.13,82.56,0.31,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.08,1.0,0.08,1.0,0.08,1.0,0.31,0.31,0.38,0.85,0.77,0.31,0.08,0.54,0.38,0.77,0.08,0.08,0.08,1.0,0.08,0.08,0.31,0.08,0.08,0.08,0.31,0.31,North
753,Rajasthan,27.02,74.21,0.15,0.69,0.54,0.31,0.08,0.08,0.77,1.0,0.54,0.08,0.46,0.08,0.46,0.69,0.69,0.08,0.54,0.08,0.31,0.54,0.31,0.08,0.31,0.69,0.31,1.0,1.0,0.08,1.0,0.08,1.0,0.77,0.62,0.77,0.54,0.77,0.54,North
754,Rajasthan,23.91,87.52,0.15,0.62,0.54,0.31,0.08,0.08,1.0,0.54,0.77,0.08,0.69,0.08,0.69,0.69,0.69,0.08,0.08,0.08,0.08,0.77,0.31,0.08,0.08,0.69,0.77,0.08,0.08,0.38,0.08,0.08,0.08,0.31,0.08,0.31,0.77,0.54,0.54,North
755,Bengal,22.57,88.36,0.15,0.69,0.54,0.31,0.08,0.08,1.0,0.54,1.0,0.08,0.46,0.08,0.46,0.69,1.0,0.15,0.08,0.08,0.08,0.54,0.31,0.08,0.08,1.0,0.54,0.69,1.0,1.0,0.54,0.08,1.0,0.77,0.35,0.42,0.54,0.54,0.31,North
757,Saurasthra,22.25,71.19,0.69,0.38,0.46,0.54,0.54,0.54,0.54,0.31,0.31,0.31,0.69,0.23,0.69,0.23,0.08,0.15,0.54,0.08,0.08,0.54,0.54,0.08,0.54,0.69,0.54,0.38,1.0,0.38,0.54,0.31,1.0,0.54,0.08,0.54,0.54,0.54,0.54,North
842,Pakistani Classical,33.68,73.04,0.42,0.62,0.54,0.77,0.54,0.31,1.0,0.54,0.31,1.0,0.92,0.38,0.92,0.54,0.69,0.08,0.08,0.08,0.69,1.0,0.31,0.08,0.08,1.0,1.0,1.0,1.0,0.08,0.08,1.0,0.08,1.0,0.08,0.08,0.08,1.0,1.0,North
975,N India Muslim,25.31,82.97,0.77,0.15,0.38,0.54,0.54,1.0,1.0,0.54,0.77,0.08,0.46,0.23,0.35,0.69,0.69,0.69,0.54,1.0,0.31,0.54,0.54,0.08,0.31,0.85,0.77,1.0,0.85,0.38,1.0,0.08,1.0,0.54,0.23,0.54,0.31,0.31,0.31,North
3547,Kanyapur,23.7,86.94,0.77,0.69,0.54,0.77,0.31,0.31,1.0,0.54,0.54,0.31,1.0,0.38,1.0,0.54,0.69,0.77,0.77,1.0,0.08,0.54,0.31,0.08,0.08,0.23,0.77,0.08,0.08,0.08,0.54,0.31,0.08,0.42,0.08,0.08,0.31,0.08,0.31,North
3548,Kanyapur,23.7,86.94,0.46,1.0,1.0,0.54,0.31,0.54,1.0,0.31,0.77,1.0,0.46,0.23,0.46,0.69,1.0,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.31,0.85,1.0,0.69,1.0,0.69,1.0,1.0,1.0,0.42,0.08,0.08,0.54,0.31,0.54,North
3549,Kanyapur,23.7,86.94,1.0,0.08,0.08,1.0,0.31,0.54,0.08,0.08,0.08,0.54,0.85,1.0,0.08,0.08,0.69,0.81,1.0,1.0,0.08,0.31,0.54,1.0,1.0,0.85,0.54,0.69,1.0,0.38,1.0,0.54,1.0,0.54,0.23,0.31,0.54,0.31,0.31,North
3550,Kanyapur,23.7,86.94,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.85,0.08,0.08,0.08,0.69,0.08,0.54,0.23,0.85,0.77,0.54,0.08,0.77,0.38,0.54,0.08,1.0,0.38,0.54,0.08,1.0,0.54,0.23,0.08,0.31,0.54,0.31,North
3551,Kanyapur,23.7,86.94,0.42,0.69,0.62,0.77,0.31,0.31,0.54,0.54,1.0,0.31,1.0,0.38,1.0,0.54,0.69,0.62,1.0,1.0,0.69,0.77,0.31,0.08,0.31,0.85,0.77,1.0,1.0,0.38,0.54,0.31,0.54,0.42,0.23,0.08,0.54,0.77,0.31,North
3552,Kanyapur,25.09,85.31,0.15,0.92,0.38,0.31,0.08,0.08,0.54,0.54,0.54,0.54,0.85,0.08,0.85,0.69,0.69,0.15,0.42,0.08,0.31,1.0,0.31,0.08,0.08,0.85,0.54,0.69,0.69,0.38,0.54,0.54,0.08,0.42,0.23,0.31,0.54,0.77,0.31,North
3553,Kanyapur,23.7,86.94,0.15,0.69,0.38,0.31,0.08,0.08,0.77,0.54,1.0,0.08,0.46,0.08,0.46,0.54,0.69,0.31,0.42,0.08,0.31,0.77,0.54,0.08,0.54,0.38,0.77,0.69,0.69,0.38,0.54,0.08,0.54,0.77,0.62,0.77,0.77,0.77,0.31,North
3554,Kanyapur,23.7,86.94,0.15,0.62,0.38,0.31,0.08,0.08,0.54,0.31,0.77,0.08,0.85,0.08,0.85,0.69,0.69,0.08,0.77,0.08,0.31,0.77,0.31,0.08,0.08,0.23,0.54,0.38,0.38,0.08,0.54,0.08,1.0,0.42,0.08,0.08,0.31,0.77,0.31,North
3555,Kanyapur,23.7,86.94,0.46,0.46,0.46,0.54,0.31,0.54,0.54,1.0,0.77,0.08,0.85,0.23,0.85,0.54,1.0,0.92,0.77,1.0,0.08,0.31,0.31,0.08,1.0,0.38,0.31,0.08,0.38,0.08,0.54,0.08,1.0,0.77,0.23,0.31,0.54,0.77,0.54,North
3556,Kanyapur,23.7,86.94,0.54,0.69,0.62,0.77,0.31,0.31,0.54,0.31,0.31,0.77,1.0,0.38,0.69,0.54,0.08,0.77,0.77,1.0,0.08,0.54,0.31,0.08,0.31,0.69,1.0,0.08,0.69,0.38,0.54,0.77,1.0,0.54,0.23,0.08,0.31,0.08,0.77,North
3557,Kanyapur,22.56,88.36,0.15,0.69,0.54,0.31,0.08,0.08,0.77,0.54,0.31,0.08,1.0,0.08,1.0,0.69,0.69,0.08,0.31,0.08,0.69,0.77,0.31,0.08,0.08,0.23,0.77,0.08,1.0,0.08,0.54,0.08,0.54,0.42,0.08,0.08,0.54,0.31,0.31,North
3763,Bhatra Sikh,18.94,81.9,0.15,0.23,0.38,0.31,0.08,0.08,1.0,0.77,0.77,0.31,0.23,0.08,0.46,0.85,0.69,0.31,0.54,0.85,0.31,0.77,0.54,0.08,0.31,0.85,0.77,0.69,1.0,0.69,0.54,0.31,1.0,0.54,0.0,0.0,0.0,0.42,0.77,North
3764,Bhatra Sikh,28.13,95.83,0.62,0.69,0.62,0.77,0.31,0.42,1.0,0.77,0.77,0.54,0.69,0.31,0.69,0.38,0.69,0.69,0.77,0.85,0.08,0.54,0.77,0.08,0.31,0.77,0.77,0.69,1.0,0.69,0.54,0.54,1.0,0.42,0.23,0.31,0.54,0.54,0.77,North
3765,Bhatra Sikh,19.24,82.02,0.38,0.15,0.46,0.54,0.54,0.77,0.54,0.77,0.77,0.31,0.69,0.23,0.69,0.54,0.69,0.46,0.54,0.62,0.31,0.54,0.54,0.08,0.54,0.69,0.54,1.0,1.0,0.38,0.54,0.31,1.0,0.54,0.62,0.54,0.54,0.54,0.54,North
3766,Bhatra Sikh,19.24,82.02,0.69,0.08,0.08,0.77,0.54,0.54,0.08,0.08,0.08,0.54,0.35,0.23,0.08,0.08,0.69,0.23,0.77,0.08,0.08,0.77,0.54,0.08,0.54,0.85,0.77,0.38,1.0,0.69,1.0,0.54,1.0,0.42,0.62,0.31,0.54,0.31,0.77,North
3767,Bhatra Sikh,19.24,82.02,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.77,1.0,0.08,0.08,0.08,0.69,0.54,0.77,0.85,0.69,0.54,0.54,0.08,0.54,0.85,0.42,0.08,1.0,0.38,0.08,0.77,1.0,0.77,0.62,0.31,0.54,0.77,0.77,North
3768,Bhatra Sikh,19.24,82.02,0.38,0.08,0.08,0.54,0.0,0.54,0.08,0.08,0.08,0.54,0.46,0.23,0.08,0.08,0.69,0.92,0.77,0.85,0.08,0.31,0.54,0.08,0.77,0.85,0.77,1.0,1.0,0.38,0.54,0.54,1.0,0.54,0.62,0.54,0.0,0.54,0.54,North
3769,Bhatra Sikh,19.24,82.02,0.69,0.08,0.08,0.77,0.0,0.42,0.08,0.08,0.08,0.31,0.85,0.38,0.08,0.08,0.85,0.5,0.54,0.85,0.08,0.77,0.31,0.08,0.54,0.69,0.77,0.69,1.0,0.69,0.54,0.31,1.0,0.31,0.62,0.31,0.54,0.54,0.54,North
3770,Bhatra Sikh,19.24,82.02,0.46,0.08,0.08,0.77,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.08,0.77,0.77,0.23,0.31,0.31,0.54,0.08,0.31,0.85,0.77,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.54,0.77,0.54,0.54,North
3771,Bhatra Sikh,19.24,82.02,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.92,0.08,0.08,0.08,0.69,0.54,0.77,1.0,0.69,0.31,0.31,0.08,0.0,1.0,0.54,0.69,1.0,1.0,1.0,0.08,1.0,0.31,0.0,0.0,0.77,0.42,0.31,North
3818,Garhwal,30.21,78.92,0.69,0.15,0.15,0.54,0.54,0.54,0.31,0.08,0.08,0.54,0.69,0.23,0.69,0.08,0.69,0.92,0.77,1.0,0.85,0.54,0.31,0.08,0.54,0.69,0.54,0.69,0.69,0.69,0.0,0.54,1.0,0.54,0.62,0.31,0.31,0.42,0.08,North
3819,Garhwal,30.21,78.92,0.62,0.15,0.38,0.54,0.54,0.54,0.54,0.77,0.54,0.54,0.85,0.23,0.85,0.54,0.69,0.62,0.88,1.0,1.0,0.31,0.54,0.08,0.31,0.69,0.77,0.69,0.69,0.69,0.54,0.54,0.54,0.54,0.35,0.31,0.54,0.54,0.31,North
3820,"Gadaba, Bhumij",22.5,85.5,0.15,0.62,0.54,0.31,0.08,0.08,0.77,0.54,0.08,0.54,0.85,0.08,0.92,0.38,0.69,0.46,0.77,0.23,0.31,0.54,0.31,0.08,0.31,0.85,0.77,0.38,0.38,0.69,0.54,0.54,0.08,0.77,0.23,0.31,0.54,0.31,0.54,North
3821,"Gadaba, Bhumij",22.5,85.5,0.15,0.62,0.54,0.31,0.08,0.08,1.0,0.54,0.31,0.54,0.85,0.08,0.85,0.38,0.69,0.46,0.77,0.62,0.31,0.77,0.54,0.08,0.31,0.85,0.77,0.69,0.69,0.69,0.54,0.54,0.54,0.31,0.62,0.31,0.54,0.31,0.54,North
3822,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.69,0.77,0.08,0.31,0.77,0.54,0.08,0.54,0.85,0.77,0.69,1.0,0.69,0.54,0.31,0.54,0.42,0.62,0.54,0.54,0.77,0.31,North
3823,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.38,0.54,0.23,0.31,0.77,0.31,0.08,0.31,0.69,0.54,0.69,1.0,1.0,0.54,0.31,0.54,0.77,0.62,0.31,0.54,0.42,0.31,North
3824,"Gadaba, Bhumij",23.34,86.36,0.62,0.23,0.38,0.77,0.54,0.54,0.54,0.54,0.77,0.54,0.46,0.38,0.46,0.69,0.69,0.46,0.77,0.23,0.08,0.54,0.54,0.08,0.77,0.69,0.77,1.0,1.0,0.69,1.0,0.54,0.54,0.54,0.62,0.54,0.54,0.42,0.54,North
3825,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,1.0,0.08,0.08,0.08,0.69,0.15,0.77,0.08,0.31,0.77,0.54,0.08,0.31,0.85,0.42,0.08,1.0,0.69,0.54,0.08,0.54,0.77,0.62,0.54,0.54,0.77,0.31,North
3826,"Gadaba, Bhumij",23.34,86.36,0.15,0.92,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.46,0.08,0.46,0.69,0.69,0.62,0.77,0.92,0.08,0.54,0.54,0.08,0.77,0.77,0.77,0.69,1.0,0.38,0.54,0.54,1.0,0.77,0.35,0.31,0.77,0.77,0.77,North
3827,"Gadaba, Bhumij",23.34,86.36,0.15,0.15,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.46,0.08,0.46,0.08,0.69,0.23,0.88,0.31,0.08,0.31,0.54,0.08,0.77,0.77,0.54,0.69,0.69,0.69,0.54,0.54,0.54,0.54,0.46,0.31,0.54,0.42,0.31,North
3828,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.46,0.54,0.62,0.31,0.77,0.54,0.08,0.54,0.69,0.42,0.69,1.0,0.38,0.54,0.31,0.54,0.77,0.62,0.54,0.54,0.54,0.54,North
3829,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.15,0.77,0.08,0.31,0.77,0.54,0.08,0.31,0.85,0.42,0.38,1.0,0.38,0.08,0.31,0.54,0.77,0.46,0.31,0.54,0.77,0.31,North
3836,"Gadaba, Bhumij",22.36,85.43,0.15,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.31,0.46,0.08,0.46,0.08,0.69,0.15,0.54,0.08,0.31,0.54,0.31,0.08,0.54,0.38,0.42,0.69,0.69,0.69,0.54,0.31,1.0,0.54,0.35,0.31,0.31,0.77,0.31,North
3837,"Gadaba, Bhumij",22.36,85.43,0.15,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.31,0.46,0.08,0.85,0.08,0.69,0.46,0.77,0.38,0.08,0.54,0.31,0.08,0.54,0.69,0.31,0.69,0.38,1.0,0.08,0.31,1.0,0.54,0.46,0.54,0.54,0.77,0.54,North
3838,"Gadaba, Bhumij",22.36,85.43,0.46,0.08,0.08,1.0,0.54,0.54,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.92,0.54,0.85,0.31,0.54,0.54,0.46,0.77,0.69,0.54,0.69,1.0,0.69,1.0,0.31,1.0,0.54,0.35,0.31,0.54,0.77,0.54,North
3839,"Gadaba, Bhumij",22.36,85.43,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.46,0.08,0.08,0.08,0.69,0.38,0.77,0.23,0.08,0.54,0.54,0.08,0.54,0.69,0.31,0.38,1.0,0.69,0.54,0.54,1.0,0.54,0.62,0.54,0.54,0.77,0.77,North
3840,"Gadaba, Bhumij",22.36,85.43,0.69,0.62,0.54,0.77,0.31,0.31,0.77,0.54,0.08,0.54,0.85,0.38,0.85,0.38,0.69,0.77,0.42,0.23,0.08,0.54,0.31,0.08,0.0,0.69,0.77,0.69,0.69,0.0,0.0,0.54,1.0,0.42,0.23,0.31,0.31,0.42,0.42,North
3841,"Gadaba, Bhumij",23.34,86.36,0.38,0.92,0.85,0.77,0.31,0.54,0.54,0.77,0.77,0.31,0.46,0.38,0.46,0.54,0.69,0.62,0.54,0.85,0.31,0.77,0.31,0.08,0.31,0.38,0.77,0.69,1.0,0.69,0.08,0.31,1.0,0.42,0.62,0.31,0.54,0.54,0.77,North
3842,"Gadaba, Bhumij",21.77,84.36,0.5,0.08,0.08,1.0,0.77,0.31,0.08,0.08,0.08,0.77,0.92,0.23,0.08,0.08,0.69,0.77,0.54,1.0,0.31,0.54,0.77,0.46,0.54,0.69,0.77,0.69,1.0,0.38,1.0,0.77,1.0,1.0,0.62,0.42,0.54,0.77,0.31,North
3843,"Gadaba, Bhumij",23.34,86.36,0.46,0.08,0.08,0.54,0.31,0.31,0.08,0.08,0.08,0.31,0.46,0.38,0.08,0.08,0.69,0.46,0.77,0.38,0.69,0.54,0.54,0.08,0.77,0.69,0.54,0.69,1.0,0.38,1.0,0.31,1.0,0.77,0.62,0.42,0.54,0.77,0.54,North
9872,Bhojpuri,25.88,84.29,0.15,0.23,0.38,0.31,0.08,0.08,1.0,0.54,0.54,0.08,0.69,0.08,0.69,1.0,0.69,0.46,0.77,0.62,0.08,0.54,0.31,0.08,0.31,0.69,0.54,0.69,0.85,0.69,0.08,0.08,0.54,0.54,0.46,0.31,0.77,0.77,0.54,North
9873,Bhojpuri,25.88,84.29,0.92,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.08,0.85,0.23,0.08,0.08,0.69,0.69,0.31,0.85,0.08,0.54,0.31,0.08,0.31,0.69,0.54,1.0,0.08,0.38,0.08,0.08,0.54,0.54,0.46,0.54,0.54,0.77,0.31,North
9874,Bhojpuri,25.88,84.29,0.92,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.31,0.85,0.08,0.54,0.54,0.08,0.54,0.69,0.54,0.69,0.08,0.69,0.54,0.54,1.0,0.54,0.46,0.54,0.54,0.54,0.31,North
9875,Bhojpuri,25.88,84.29,0.77,0.77,0.85,0.31,0.08,0.08,1.0,0.31,0.54,0.31,0.46,0.08,0.46,0.69,0.85,0.85,0.54,0.85,0.08,0.31,0.42,0.08,0.54,0.77,0.54,0.69,0.69,1.0,0.54,0.31,0.54,0.54,0.23,0.31,0.54,0.77,0.31,North
9876,Bhojpuri,25.88,84.29,0.85,1.0,0.85,0.77,0.77,0.77,1.0,0.54,1.0,0.77,0.46,0.23,0.46,0.85,0.69,0.69,0.77,0.85,0.08,0.54,0.54,0.08,1.0,0.77,0.77,0.69,0.69,1.0,1.0,0.77,1.0,0.42,0.46,0.31,0.54,0.31,0.54,North
9877,Bhojpuri,25.88,84.29,0.92,0.08,0.08,0.31,0.77,0.77,0.08,0.08,0.08,0.54,0.46,0.23,0.08,0.08,0.69,0.62,0.77,0.85,0.31,0.54,0.42,0.08,0.54,0.69,0.54,0.69,0.08,0.69,0.54,0.54,1.0,0.54,0.23,0.31,0.31,0.54,0.54,North
9878,Bhojpuri,25.88,84.29,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,1.0,0.08,0.08,0.08,0.85,0.08,0.42,0.0,0.69,0.31,0.31,0.08,0.31,0.38,0.77,0.08,0.08,0.38,0.54,0.08,0.54,0.42,0.35,0.54,0.54,0.77,0.31,North
9879,Bhojpuri,25.88,84.29,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,0.85,0.08,0.46,0.08,0.0,0.15,0.77,0.08,0.31,0.54,0.42,0.08,0.54,0.38,0.54,0.69,0.69,0.69,0.54,0.31,1.0,0.54,0.23,0.31,0.54,0.77,0.54,North
