latitude,longitude,label,name
37,250,Prohibited but weakly sanctioned,Antarianunts
36,249,Prohibited but weakly sanctioned,San Juan
43,248,Prohibited but weakly sanctioned,Bannock
36,246,Prohibited but weakly sanctioned,Hualapai
34,246,Prohibited but weakly sanctioned,Tolkepaya
50,243,Prohibited but weakly sanctioned,Kutenai
48,254,Prohibited but weakly sanctioned,Assiniboine
51,260,Prohibited but weakly sanctioned,Bungi
36,261,Prohibited but weakly sanctioned,Kiowa Apache
43,257,Prohibited but weakly sanctioned,Teton
41,264,Prohibited but weakly sanctioned,Omaha
36,256,Prohibited but weakly sanctioned,Jicarilla
32,245,Prohibited but weakly sanctioned,Cocopa
34,249,Prohibited but weakly sanctioned,Kewyipaya
37,250,Prohibited but weakly sanctioned,Navajo
19,261,Prohibited but weakly sanctioned,Aztec
17,265,Prohibited but weakly sanctioned,Mixe
19,262,Prohibited but weakly sanctioned,Tlaxcalans
12,288,Prohibited but weakly sanctioned,Wayuu
18.41,287.83,Prohibited but weakly sanctioned,Haitians
6,292,Prohibited but weakly sanctioned,Piapoco
5,306,Prohibited but weakly sanctioned,Ndyuka
5,291,Prohibited but weakly sanctioned,Guahibo
2,295,Prohibited but weakly sanctioned,Yanomami
-12,293,Prohibited but weakly sanctioned,Chácobo
-3,290,Prohibited but weakly sanctioned,Ticuna
-3,282,Prohibited but weakly sanctioned,Shuar
-1,286,Prohibited but weakly sanctioned,Witoto
-55.02,291.02,Prohibited but weakly sanctioned,Yahgan
-46,290,Prohibited but weakly sanctioned,Tehuelche
-7,315,Prohibited but weakly sanctioned,Canela
57,53,Prohibited but weakly sanctioned,Chuvash
59,29,Prohibited but weakly sanctioned,Ingrians
64,33,Prohibited but weakly sanctioned,Karelians
47,29,Prohibited but weakly sanctioned,Moldovans
59,29,Prohibited but weakly sanctioned,Votes
63,62,Prohibited but weakly sanctioned,Mansi
50,136,Prohibited but weakly sanctioned,Ulch
-26,18,"Permitted, sanction if pregnancy",Nama
-24,31,"Permitted, sanction if pregnancy",Lovedu
-23,30,"Permitted, sanction if pregnancy",Venda
-13,36,"Permitted, sanction if pregnancy",Yao
-8,33,"Permitted, sanction if pregnancy",Safwa
-5,33,"Permitted, sanction if pregnancy",Nyamwezi
-2,38,"Permitted, sanction if pregnancy",Kamba
-4,32,"Permitted, sanction if pregnancy",Sumbwa
1,34,"Permitted, sanction if pregnancy",Gisu
5,11,"Permitted, sanction if pregnancy",Bafia
11,-1,"Permitted, sanction if pregnancy",Tallensi
7,9,"Permitted, sanction if pregnancy",Tiv
7,12,"Permitted, sanction if pregnancy",Mambila
5,27,"Permitted, sanction if pregnancy",Azande
3,32,"Permitted, sanction if pregnancy",Acholi
4,33,"Permitted, sanction if pregnancy",Lotuko
7,36,"Permitted, sanction if pregnancy",Shako
68,22,"Permitted, sanction if pregnancy",Sami
39,100,"Permitted, sanction if pregnancy",Tu
26,91,"Permitted, sanction if pregnancy",Garo
25,94,"Permitted, sanction if pregnancy",Aimol
22,93,"Permitted, sanction if pregnancy",Maras
26,97,"Permitted, sanction if pregnancy",Kachin
-4,136,"Permitted, sanction if pregnancy",Mee
-9,147,"Permitted, sanction if pregnancy",Motu
-6,144,"Permitted, sanction if pregnancy",Kakoli
-4,142,"Permitted, sanction if pregnancy",Kwoma
-3.24,144.1,"Permitted, sanction if pregnancy",Wogeo
-9,148,"Permitted, sanction if pregnancy",Orokaiva
-5.6,154.91,"Permitted, sanction if pregnancy",Kurtatchi
-17.74,180.69,"Permitted, sanction if pregnancy",Lau
-12.29,168.83,"Permitted, sanction if pregnancy",Tikopia
61,240,"Permitted, sanction if pregnancy",DeneTha
66,225,"Permitted, sanction if pregnancy",Kutchin
58,229,"Permitted, sanction if pregnancy",Tahltan
51,275,"Permitted, sanction if pregnancy",Eastern Cree
49,268,"Permitted, sanction if pregnancy",Rainy River Ojibwe
54,228,"Permitted, sanction if pregnancy",Haida
47.42,235.84,"Permitted, sanction if pregnancy",Quinault
39.73,236.4,"Permitted, sanction if pregnancy",Sinkyone
41,239,"Permitted, sanction if pregnancy",Achumawi
45,245,"Permitted, sanction if pregnancy",Nez Perce
43,248,"Permitted, sanction if pregnancy",Bohogue
51,245,"Permitted, sanction if pregnancy",Kainai
49,245,"Permitted, sanction if pregnancy",Piegan
34,250,"Permitted, sanction if pregnancy",Western Apache
36,249,"Permitted, sanction if pregnancy",Hano
37,254,"Permitted, sanction if pregnancy",Taos
9,277,"Permitted, sanction if pregnancy",Bribri
9,296,"Permitted, sanction if pregnancy",Cariña
-16,291,"Permitted, sanction if pregnancy",Aymara
-39,292,"Permitted, sanction if pregnancy",Mapuche
58,52,"Permitted, sanction if pregnancy",Besermyan
53,50,"Permitted, sanction if pregnancy",Erzya Mordvins
61,35,"Permitted, sanction if pregnancy",Veps
52,134,"Permitted, sanction if pregnancy",Negidal
54.01,142.71,"Permitted, sanction if pregnancy",Orok
47,136,"Permitted, sanction if pregnancy",Udihe
-2,18,Trial marriage,Ekonda
2,28,Trial marriage,Budu
6,0,Trial marriage,Adangme
0,36,Trial marriage,Keyu
53,7,Trial marriage,Dutch
-8.18,115.02,Trial marriage,Balinese
69,250,Trial marriage,Copper Inuit
15.41,298.73,Trial marriage,Callinago
-6,302,Trial marriage,Munduruku
1,289,Trial marriage,Cubeo
45.44,29.32,Trial marriage,Gagauz
2,28,"Permitted, no sanctions",Mbuti
-31,30,"Permitted, no sanctions",Pondo
-10,14,"Permitted, no sanctions",Kisama
-24,32,"Permitted, no sanctions",Tsonga
-16,27,"Permitted, no sanctions",Ila
-12,22,"Permitted, no sanctions",Luvale
-7,15,"Permitted, no sanctions",Bakongo
-1,12,"Permitted, no sanctions",Mitsogho
-18,28,"Permitted, no sanctions",Plateau Tonga
-15,31,"Permitted, no sanctions",Lala
-18,35,"Permitted, no sanctions",Sena
-8,38,"Permitted, no sanctions",Luguru
-3,34,"Permitted, no sanctions",Sukuma
1,35,"Permitted, no sanctions",Vugusu
1,30,"Permitted, no sanctions",Amba
-6,25,"Permitted, no sanctions",Songye
2,22,"Permitted, no sanctions",Poto
1,11,"Permitted, no sanctions",Fang
2,20,"Permitted, no sanctions",Ngombe
0,20,"Permitted, no sanctions",Nkundo
3,11,"Permitted, no sanctions",Ngumba
6,12,"Permitted, no sanctions",Tikar
6,10,"Permitted, no sanctions",Widikum
3,25,"Permitted, no sanctions",Baboa
7,-9,"Permitted, no sanctions",Kpelle
6,9,"Permitted, no sanctions",Banyang
6,5,"Permitted, no sanctions",Itsekiri
18,8,"Permitted, no sanctions",Koro
7,1,"Permitted, no sanctions",Ewe
5.27,-3.58,"Permitted, no sanctions",Assini
5.15,-5.25,"Permitted, no sanctions",Avikam
6,-9,"Permitted, no sanctions",Sapo
7,-6,"Permitted, no sanctions",Guro
8,-10,"Permitted, no sanctions",Gbande
7,-8,"Permitted, no sanctions",Ngere
6,-7,"Permitted, no sanctions",Bete
8,-5,"Permitted, no sanctions",Baule
12,-16,"Permitted, no sanctions",Banyun
12,-15,"Permitted, no sanctions",Biafada
11.1,-16.15,"Permitted, no sanctions",Bijogo
12.88,-16.19,"Permitted, no sanctions",Diola
12,-16,"Permitted, no sanctions",Papel
12,-13,"Permitted, no sanctions",Bassari
14,-12,"Permitted, no sanctions",Serer
10,-6,"Permitted, no sanctions",Senufo
11,-3,"Permitted, no sanctions",Dagara
9,1,"Permitted, no sanctions",Basari
11,1,"Permitted, no sanctions",Somba
11,1,"Permitted, no sanctions",Tem
11,-13,"Permitted, no sanctions",Futajalonke
13,-13,"Permitted, no sanctions",Coniagui
12,5,"Permitted, no sanctions",Dakakari
11,5,"Permitted, no sanctions",Reshe
10,8,"Permitted, no sanctions",Adara
10,9,"Permitted, no sanctions",Anaguta
12,31,"Permitted, no sanctions",Otoro
3,28,"Permitted, no sanctions",Mangbetu
10,14,"Permitted, no sanctions",Fali
3,19,"Permitted, no sanctions",Bwaka
2,26,"Permitted, no sanctions",Popoi
4,32,"Permitted, no sanctions",Madi
4,34,"Permitted, no sanctions",Didinga
-2,36,"Permitted, no sanctions",Maasi
5,34,"Permitted, no sanctions",Toposa
1,37,"Permitted, no sanctions",Samburu
-1,34,"Permitted, no sanctions",Luo
-1,36,"Permitted, no sanctions",Kipsigis
16,38,"Permitted, no sanctions",Nara
15,37,"Permitted, no sanctions",Kunama
20,36,"Permitted, no sanctions",Amarar
12,10,"Permitted, no sanctions",Maguzawa
12,11,"Permitted, no sanctions",Karekare
12,24,"Permitted, no sanctions",Fur
14.73,-14.32,"Permitted, no sanctions",Tukulor
12,12,"Permitted, no sanctions",Wodaabe Fulani
12,10,"Permitted, no sanctions",Ngizim
13,5,"Permitted, no sanctions",Bororo Fulani
16,0,"Permitted, no sanctions",Udalan Tuareg
18,-3,"Permitted, no sanctions",Kel Antessar
30,31,"Permitted, no sanctions",Ancient Egyptians
49,24,"Permitted, no sanctions",Hutsuls
40,45,"Permitted, no sanctions",Armenians
65,125,"Permitted, no sanctions",Yakut
66,177,"Permitted, no sanctions",Chukchi
44,144,"Permitted, no sanctions",Ainu
29,103,"Permitted, no sanctions",Lolo
26,107,"Permitted, no sanctions",Miao
19,109,"Permitted, no sanctions",Li
28,95,"Permitted, no sanctions",Adi
28,89,"Permitted, no sanctions",Lepcha
28,87,"Permitted, no sanctions",Sherpa
16,79,"Permitted, no sanctions",Chenchu
20,81,"Permitted, no sanctions",Muria Gond
18,82,"Permitted, no sanctions",Reddi
19,81,"Permitted, no sanctions",Madia
12,77,"Permitted, no sanctions",Toda
21,85,"Permitted, no sanctions",Hill Bhuiya
22,81,"Permitted, no sanctions",Baiga
12,93,"Permitted, no sanctions",Andamanese
-19,46,"Permitted, no sanctions",Merina
-22,47,"Permitted, no sanctions",Tanala
9.17,92.77,"Permitted, no sanctions",Nicobarese
7,80,"Permitted, no sanctions",Sinhalese
-25,46,"Permitted, no sanctions",Antandroy
-21,43.93,"Permitted, no sanctions",Sakalava
-22.9,47.75,"Permitted, no sanctions",Antaisaka
27,94,"Permitted, no sanctions",Ao
23,97,"Permitted, no sanctions",Palaung
20,101,"Permitted, no sanctions",Lamet
4,102,"Permitted, no sanctions",Senoi
13,104,"Permitted, no sanctions",Ancient Khmer
21,100,"Permitted, no sanctions",Akha
17,121,"Permitted, no sanctions",Sagada
17,121,"Permitted, no sanctions",Ifugao
17,121,"Permitted, no sanctions",Bontok
2,99,"Permitted, no sanctions",Toba Batak
6,117,"Permitted, no sanctions",Kadazan-Dusun
-2.93,100.23,"Permitted, no sanctions",Mentaweians
-3,103,"Permitted, no sanctions",Anak Dalam
-6,145,"Permitted, no sanctions",Siane
-9,147,"Permitted, no sanctions",Koita
-8,147,"Permitted, no sanctions",Mafulu
-6,145,"Permitted, no sanctions",Fore
7.45,134.54,"Permitted, no sanctions",Palauans
5.31,162.98,"Permitted, no sanctions",Kosraeans
15.21,145.76,"Permitted, no sanctions",Carolinians
6.28,169.49,"Permitted, no sanctions",Marshallese
7.34,151.6,"Permitted, no sanctions",Trukese
7.09,171.13,"Permitted, no sanctions",Majuro
7.25,144.46,"Permitted, no sanctions",Ifaluk
6.88,158.22,"Permitted, no sanctions",Ponapeans
9.55,138.13,"Permitted, no sanctions",Yapese
-1.74,142.85,"Permitted, no sanctions",Aua
-8.43,151.09,"Permitted, no sanctions",Trobriands
-10,151,"Permitted, no sanctions",Dobuans
-13.68,187.59,"Permitted, no sanctions",American Samoans
-11.74,160.42,"Permitted, no sanctions",Rennell Islanders
-13.28,183.83,"Permitted, no sanctions",Uveans
-10.89,194.16,"Permitted, no sanctions",Pukapukans
-7.48,178.68,"Permitted, no sanctions",Ellice
-9.2,188.15,"Permitted, no sanctions",Tokelau
1.09,154.8,"Permitted, no sanctions",Kapingamarangi
-14.31,181.89,"Permitted, no sanctions",Futunans
-19.05,190.14,"Permitted, no sanctions",Niueans
-38.41,176.31,"Permitted, no sanctions",Māori
-8.9,219.92,"Permitted, no sanctions",Marquesans
-10.41,199.02,"Permitted, no sanctions",Manihikians
-15.94,217.69,"Permitted, no sanctions",Raroians
19.89,204.17,"Permitted, no sanctions",Hawaiians
-23.12,225.03,"Permitted, no sanctions",Mangarevans
-17.71,210.46,"Permitted, no sanctions",Tahitians
-27.12,250.64,"Permitted, no sanctions",Easter Islanders
68,208,"Permitted, no sanctions",Nunamiut
78,290,"Permitted, no sanctions",Inughuit (Northern Greenland)
65,241,"Permitted, no sanctions",Délįne
71,203,"Permitted, no sanctions",Tareumiut
58,295,"Permitted, no sanctions",Labrador Inuit
66,323,"Permitted, no sanctions",Tasiilaq
68.66,308.78,"Permitted, no sanctions",Kalaallit (West Greenland)
60,255,"Permitted, no sanctions",Dene
52,266,"Permitted, no sanctions",Pekangekum
59,232,"Permitted, no sanctions",Kaska
46,278,"Permitted, no sanctions",Ottawa
62,284,"Permitted, no sanctions",Taqagmiut
58,290,"Permitted, no sanctions",Naskapi
38.22,237.44,"Permitted, no sanctions",Wappo
38,251,"Permitted, no sanctions",Southern Ute
41,243,"Permitted, no sanctions",White Knife Shoshoni
36,247,"Permitted, no sanctions",Southern Paiute (Kaibab)
43,251,"Permitted, no sanctions",Wind River Eastern Shoshone
52,238,"Permitted, no sanctions",Chilcotin
45,266,"Permitted, no sanctions",Plains Cree
43,261,"Permitted, no sanctions",Ponca
37,275,"Permitted, no sanctions",Shawnee
44,282,"Permitted, no sanctions",Huron
43,283,"Permitted, no sanctions",Seneca
41,285,"Permitted, no sanctions",Delaware
32,269,"Permitted, no sanctions",Natchez
36,254,"Permitted, no sanctions",San Ildefonso
35,253,"Permitted, no sanctions",Santa Ana
36,249,"Permitted, no sanctions",Hopi
35,246,"Permitted, no sanctions",Mojave
28,253,"Permitted, no sanctions",Tarahumara
11,288,"Permitted, no sanctions",Paraujano
19.94,284.63,"Permitted, no sanctions",Taíno
5,301,"Permitted, no sanctions",Barama River Carib
5,294,"Permitted, no sanctions",Yabarana
1,301,"Permitted, no sanctions",Wai-wai
4,294,"Permitted, no sanctions",Sanema
-16,296,"Permitted, no sanctions",Sirionó
-3,288,"Permitted, no sanctions",Yagua
-10,288,"Permitted, no sanctions",Amahuaca
-9,286,"Permitted, no sanctions",Shipibo-Conibo
5,288,"Permitted, no sanctions",Muisca
-24,297,"Permitted, no sanctions",Wichí
-22,303,"Permitted, no sanctions",Kadiwéu
-22,298,"Permitted, no sanctions",Choroti
-25,300,"Permitted, no sanctions",Toba
-16,305,"Permitted, no sanctions",Bororo
-12,307,"Permitted, no sanctions",Trumai
-28,310,"Permitted, no sanctions",Aweikoma
-8,325,"Permitted, no sanctions",Tupinambá
57,53,"Permitted, no sanctions",Udmurt
72,90,"Permitted, no sanctions",Nganasan
54.98,161.79,"Permitted, no sanctions",Itelmen
64,173,"Permitted, no sanctions",Ungazikmit
55,112,"Permitted, no sanctions",Evenk
51,138,"Permitted, no sanctions",Oroch