linenum,varname
1,The Social Organization of the Vocal Group
2,Relationship of Orchestra to Vocal Parts
3,Social Organization of the Orchestra
4,Musical Organization of the Vocal Part
5,Tonal Blend of the Vocal Group
6,Rhythmic Coordination of the Vocal Group
7,Musical Organization of the Orchestra
8,Tonal Blend of the Orchestra
9,Rhythmic Coordination of the Orchestra
10,Repetition of Text
11,Overall Rhythm: Vocal
12,Rhythmic Relationship Within the Vocal Group
13,Overall Rhythm: Orchestra
14,Rhythmic Relationship Within the Orchestra
15,Melodic Shape
16,Melodic Form
17,Phrase Length
18,Number of Phrases
19,Position of Final Tone
20,Melodic Range
21,Interval Size
22,Polyphonic Type
23,Embellishment
24,Tempo
25,Volume
26,Rubato: Vocal
27,Rubato: Orchestra
28,Glissando
29,Melisma
30,Tremolo
31,Glottal
32,Vocal Pitch (Register)
33,Vocal Width
34,Nasality
35,Rasp
36,Accent
37,Enunciation