canto_coding_id,place,region
758,Andhra Pradesh,South India
759,Madras,South India
760,Madras,South India
844,"Toda, Gond",South India
845,"Toda, Gond",South India
846,"Toda, Gond",South India
847,"Toda, Gond",South India
848,"Toda, Gond",South India
849,"Toda, Gond",South India
850,"Toda, Gond",South India
851,"Toda, Gond",South India
852,"Toda, Gond",South India
972,Madras,South India
973,Madras,South India
974,Madras,South India
1843,Kerala,South India
1844,Kerala,South India
1845,Kerala,South India
1846,Kerala,South India
1847,Kerala,South India
1848,Kerala,South India
1849,Kerala,South India
1850,Kerala,South India
1851,Kerala,South India
1852,Kerala,South India
3772,Dhurwa Gond,South India
3773,Dhurwa Gond,South India
3774,Dhurwa Gond,South India
3775,Dhurwa Gond,South India
3776,Dhurwa Gond,South India
3777,Dhurwa Gond,South India
3778,Dhurwa Gond,South India
3779,Dhurwa Gond,South India
3780,Dhurwa Gond,South India
3781,Dhurwa Gond,South India
3782,Dhurwa Gond,South India
3783,Dhurwa Gond,South India
3814,Koya,South India
3815,Koya,South India
3816,Koya,South India
3817,Koya,South India
3844,Kolam,South India
3845,Kolam,South India
3846,Kolam,South India
3853,"Toda, Gond",South India
3854,"Toda, Gond",South India
3784,Dorla,South India
3802,Korku,Central India
3803,Korku,Central India
3804,Korku,Central India
3805,Korku,Central India
3806,Korku,Central India
3807,Korku,Central India
3808,Korku,Central India
3809,Korku,Central India
3810,Korku,Central India
3811,Korku,Central India
9892,Bonda,North India
9893,Bonda,North India
9894,Bonda,North India